Unnamed: 0,Airlines,Sources,Destinations,Duration,Total Stops,Date,Departure Time,Arrival Time,Prices
63,Air India,BOM,DEL,5h 55m,1 stop,2024-06-22,18:35,00:30+1,"₹ 5,383"
64,IndiGo,BOM,DEL,4h 30m,1 stop,2024-06-22,04:10,08:40,"₹ 5,624"
65,IndiGo,BOM,DEL,4h 55m,1 stop,2024-06-22,06:20,11:15,"₹ 6,229"
66,Vistara,BOM,DEL,5h 10m,1 stop,2024-06-22,15:35,20:45,"₹ 7,173"
67,Air India,BOM,DEL,4h 55m,1 stop,2024-06-22,15:00,19:55,"₹ 7,437"
68,Air India,BOM,DEL,4h 50m,1 stop,2024-06-22,15:30,20:20,"₹ 9,327"
69,SpiceJet,BOM,DEL,2h 10m,direct,2024-06-22,06:25,08:35,"₹ 10,705"
70,IndiGo,BOM,DEL,6h 15m,1 stop,2024-06-22,02:25,08:40,"₹ 4,719"
71,IndiGo,BOM,DEL,4h 55m,1 stop,2024-06-22,02:25,07:20,"₹ 5,228"
72,Air India,BOM,DEL,7h 00m,1 stop,2024-06-22,05:30,12:30,"₹ 5,946"
73,Vistara,BOM,DEL,6h 55m,1 stop,2024-06-22,15:05,22:00,"₹ 5,994"
74,IndiGo,BOM,DEL,7h 05m,1 stop,2024-06-22,04:10,11:15,"₹ 6,018"
75,IndiGo,BOM,DEL,6h 40m,1 stop,2024-06-22,06:20,13:00,"₹ 6,190"
76,IndiGo,BOM,DEL,7h 20m,1 stop,2024-06-22,16:50,00:10+1,"₹ 7,154"
77,Air India,BOM,DEL,8h 00m,1 stop,2024-06-22,15:00,23:00,"₹ 7,622"
78,Vistara,BOM,DEL,7h 10m,1 stop,2024-06-22,15:35,22:45,"₹ 7,803"
79,Air India,BOM,DEL,8h 15m,1 stop,2024-06-22,15:30,23:45,"₹ 7,840"
80,Air India,BOM,DEL,9h 00m,1 stop,2024-06-22,15:30,00:30+1,"₹ 7,963"
81,IndiGo,BOM,DEL,4h 10m,1 stop,2024-06-22,05:25,09:35,"₹ 8,604"
82,IndiGo,BOM,DEL,5h 20m,1 stop,2024-06-22,15:15,20:35,"₹ 8,855"
83,Air India,BOM,DEL,6h 30m,1 stop,2024-06-22,06:00,12:30,"₹ 8,932"
84,Air India,BOM,DEL,7h 50m,1 stop,2024-06-22,11:00,18:50,"₹ 9,160"
85,Vistara,BOM,DEL,6h 00m,1 stop,2024-06-22,05:30,11:30,"₹ 9,237"
86,IndiGo,BOM,DEL,5h 40m,1 stop,2024-06-22,18:30,00:10+1,"₹ 9,733"
87,Air India,BOM,DEL,7h 35m,1 stop,2024-06-22,10:30,18:05,"₹ 10,154"
88,Air India,BOM,DEL,6h 10m,1 stop,2024-06-22,11:00,17:10,"₹ 10,403"
89,IndiGo,BOM,DEL,4h 05m,1 stop,2024-06-22,16:50,20:55,"₹ 10,732"
90,Vistara,BOM,DEL,6h 15m,1 stop,2024-06-22,17:50,00:05+1,"₹ 11,062"
91,Air India,BOM,DEL,5h 40m,1 stop,2024-06-22,16:05,21:45,"₹ 11,091"
92,IndiGo,BOM,DEL,5h 45m,1 stop,2024-06-22,06:50,12:35,"₹ 12,179"
93,Vistara,BOM,DEL,6h 20m,1 stop,2024-06-22,16:00,22:20,"₹ 12,237"
94,Vistara,BOM,DEL,6h 20m,1 stop,2024-06-22,17:30,23:50,"₹ 13,280"
95,Vistara,BOM,DEL,6h 20m,1 stop,2024-06-22,06:10,12:30,"₹ 13,516"
96,Vistara,BOM,DEL,5h 40m,1 stop,2024-06-22,16:00,21:40,"₹ 14,298"
97,Air India Express,BOM,DEL,8h 50m,1 stop,2024-06-22,22:35,07:25+1,"₹ 6,454"
98,Air India,BOM,DEL,8h 55m,1 stop,2024-06-22,11:00,19:55,"₹ 8,865"
99,Air India,BOM,DEL,8h 20m,1 stop,2024-06-22,05:55,14:15,"₹ 10,219"
100,Vistara,BOM,DEL,7h 50m,1 stop,2024-06-22,16:00,23:50,"₹ 11,292"
101,Vistara,BOM,DEL,7h 40m,1 stop,2024-06-22,06:40,14:20,"₹ 12,427"
102,Vistara,BOM,DEL,9h 10m,1 stop,2024-06-22,10:45,19:55,"₹ 12,599"
103,Air India,BOM,DEL,8h 00m,1 stop,2024-06-22,15:25,23:25,"₹ 13,427"
104,"Akasa Air, SpiceJet",BOM,DEL,8h 50m,1 stop,2024-06-22,23:55,08:45+1,"₹ 13,626"
105,Akasa Air,BOM,DEL,7h 25m,1 stop,2024-06-22,23:55,07:20+1,"₹ 13,890"
106,Air India,BOM,DEL,6h 50m,1 stop,2024-06-22,17:15,00:05+1,"₹ 14,148"
107,Air India,BOM,DEL,7h 05m,1 stop,2024-06-22,10:15,17:20,"₹ 15,373"
108,Air India,BOM,DEL,6h 35m,1 stop,2024-06-22,05:55,12:30,"₹ 15,511"
109,Air India,BOM,DEL,7h 20m,1 stop,2024-06-22,13:10,20:30,"₹ 16,011"
110,Air India,BOM,DEL,7h 45m,1 stop,2024-06-22,15:55,23:40,"₹ 16,307"
111,Vistara,BOM,DEL,6h 40m,1 stop,2024-06-22,06:00,12:40,"₹ 16,755"
